productid,exchangeid,mode,open_account,open_number,close_account,close_number,todayclose_account,todayclose_number,change_account,change_number,margin,volumemultiple
a,DCE,number,,9.6,,9.6,,,,10,0.11,10
ag,SHFE,account,1.2,,1.2,,1.2,,,15,0.12,15
al,SHFE,number,,12,,12,,,,10,0.12,5
AP,CZCE,number,,40,,40,,,,5,0.15,10
au,SHFE,number,,40,,40,,,,1000,0.12,1000
b,DCE,number,,9.6,,9.6,,,,10,0.11,10
bb,DCE,number,,9.6,,9.6,,,,10,0.11,500
bu,SHFE,account,4,,4,,4,,,10,0.14,10
c,DCE,number,,4.8,,4.8,,,,10,0.1,10
CF,CZCE,number,,17.2,,17.2,,,,20,0.12,5
CJ,CZCE,number,,17.2,,17.2,,,,5,0.12,5
cs,DCE,number,,6,,6,,,,10,0.1,10
cu,SHFE,account,2,,2,,,,,10,0.13,5
CY,CZCE,number,,16,,16,,4,,10,0.1,5
eb,DCE,number,,9.6,,9.6,,,,5,0.11,5
eg,DCE,number,,9.6,,9.6,,,,10,0.13,10
fb,DCE,number,,9.6,,9.6,,,,0.5,0.13,10
FG,CZCE,number,,12,,12,,,,20,0.12,20
fu,SHFE,account,4,,4,,4,,,10,0.15,10
hc,SHFE,account,4,,4,,4,,,10,0.13,10
i,DCE,account,2.4,,2.4,,1.2,,,50,0.13,100
IC,CFFEX,account,0.92,,0.92,,0.92,,1,200,0.18,200
IF,CFFEX,account,0.92,,0.92,,0.92,,1,300,0.13,300
IH,CFFEX,account,0.92,,0.92,,0.92,,1,300,0.13,300
j,DCE,account,2.4,,2.4,,1.2,,,100,0.15,100
jd,DCE,account,6,,6,,6,,,5,0.11,10
jm,DCE,account,2.4,,2.4,,1.2,,,60,0.15,60
JR,CZCE,number,,12,,12,,,,20,0.12,20
l,DCE,number,,8,,8,,,,10,0.11,5
LR,CZCE,number,,12,,12,,,,20,0.12,20
m,DCE,number,,6,,6,,,,10,0.13,10
MA,CZCE,number,,8,,8,,,,10,0.12,10
ni,SHFE,number,,4,,4,,6,,2,0.12,1
OI,CZCE,number,,8,,8,,,,10,0.12,10
p,DCE,number,,10,,10,,,,10,0.12,10
pb,SHFE,account,1.6,,1.6,,,,,10,0.13,5
PM,CZCE,number,,6,,6,,,,10,0.1,50
pg,DCE,account,2.4,,2.4,,1,,,1,0.11,20
pp,DCE,account,2.4,,2.4,,1,,,10,0.11,5
rb,SHFE,account,2.4,,2.4,,2.4,,,10,0.14,10
RI,CZCE,number,,6,,6,,,,10,0.1,20
RM,CZCE,number,,6,,6,,,,10,0.1,10
RS,CZCE,number,,6,,6,,,,10,0.1,10
ru,SHFE,account,1.8,,1.8,,1.8,,,10,0.14,10
SA,CZCE,number,,17.2,,17.2,,,,20,0.11,20
sc,INE,number,,17.2,,17.2,,,,20,0.11,1000
SF,CZCE,number,,12,,12,,36,,5,0.15,5
SM,CZCE,number,,12,,12,,24,,5,0.15,5
sn,SHFE,number,,4,,4,,,,2,0.14,1
sp,SHFE,account,2,,2,,2,,,10,0.13,10
SR,CZCE,number,,12,,12,,,,10,0.1,10
ss,SHFE,account,2,,2,,2,,,5,0.14,5
T,CFFEX,number,,12,,12,,,,5,0.03,10000
TA,CZCE,number,,12,,12,,3,,10,0.15,5
TF,CFFEX,number,,12,,12,,3,,5,0.022,10000
TS,CFFEX,number,,12,,12,,3,,5,0.022,20000
UR,CZCE,number,,17.2,,17.2,,,,20,0.11,20
v,DCE,number,,8,,8,,,,10,0.12,5
WH,CZCE,number,,17.2,,17.2,,,,20,0.11,20
wr,SHFE,account,0.4,,0.4,,0.4,,,10,0.14,10
y,DCE,number,,12,,12,,,,10,0.12,10
ZC,CZCE,number,,16,,16,,,,100,0.15,100
zn,SHFE,number,,12,,12,,,,10,0.14,5
